;;;;;;;;;;;;;;;;
;;;;;;;;evento que causou as avarias;;idade da pessoaa que morreu, no caso de 1 fatalidade;;;;;;
;estado;cidade;area_da_industria;area_especifica;cod_CNAE;processo;processo_especifico;evento;evento_especifico;idade*;vitimas;fatalidades;grau;mês;ano;url
;BA;Jequié;Alimentos;NaN;C10;Transporte;NaN;Incêndio;Um incêndio atingiu dois caminhões no pátio de uma indústria;NaN;0;0;4;8;2021;https://g1.globo.com/ba/bahia/noticia/2021/08/30/incendio-atinge-caminhoes-estacionados-em-patio-de-industria-de-alimentos-em-jequie-sudoeste-da-ba.ghtml
;RS;Alegrete;Alimentos;Arroz;C10;Produção;NaN;Queda de objeto;Vítima atingida por uma rosca varredoura;54;1;1;4;3;2018;https://g1.globo.com/rs/rio-grande-do-sul/noticia/operario-morre-atingido-por-equipamento-em-industria-de-arroz-em-alegrete.ghtml
;SP;Charqueada;Química;Oléos, plastificantes, etc;C20;Produção;Reação;Explosão;explosão em reator com óleo;NaN;4;3;5;10;2018;https://g1.globo.com/sp/piracicaba-regiao/noticia/2018/10/09/explosao-atinge-industria-quimica-em-charqueada.ghtml
;GO; Crixás;Extrativa mineral;NaN;B09;Produção;NaN;Queda de objeto;pedra caiu sobre a vítima;NaN;1;1;4;2;2021;https://g1.globo.com/go/goias/noticia/2021/02/17/funcionario-de-mineradora-morre-em-acidente-de-trabalho-em-crixas.ghtml
;PR;Curitiba;Alimentos;Óleos;C10;NaN;NaN;Vazamento de ar quente;deslocamento de ar quente de uma máquina;NaN;6;0;3;2;2020;https://g1.globo.com/pr/parana/noticia/2020/02/09/funcionarios-de-industria-de-oleos-sofrem-queimaduras-em-acidente-com-maquina-em-araucaria.ghtml
;SP;Batatais;Química;Fertilizante;C20;NaN;NaN;Explosão;explosão de tanque com óleo combustível;NaN;0;0;4;7;2020;https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2020/07/03/tanque-de-30-mil-litros-de-oleo-combustivel-explode-em-industria-de-fertilizantes-em-batatais-sp.ghtml
;SP;Itaquaquecetuba;Reciclagem;NaN;E38;NaN;NaN;Incêndio;NaN;NaN;0;0;4;10;2020;https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2020/10/29/incendio-atinge-industria-de-reciclaveis-em-itaquaquecetuba.ghtml
;MG;Juiz de Fora;Papel e celulose;Papel;C17;Produção;Prensagem do papel;Aprisionamento em máquina;preso em rolos de prensagem de uma máquina;67;1;1;4;6;2020;https://g1.globo.com/mg/zona-da-mata/noticia/2020/06/24/trabalhador-morre-preso-em-maquina-de-secagem-de-papel-em-juiz-de-fora.ghtml
;PI;Parnaíba;Alimentos;cajuína;C10;Produção;NaN;Desabamento;teto de uma indústria de cajuína desabar;NaN;6;0;5;11;2020;https://g1.globo.com/pi/piaui/noticia/2020/11/26/teto-de-industria-desaba-e-deixa-seis-pessoas-trabalhadores-feridos-em-parnaiba-litoral-do-piaui.ghtml
;MT;Cuiabá;Reciclagem;Papel e plástico;E38;NaN;NaN;Incêndio;NaN;52;1;1;5;8;2020;https://g1.globo.com/mt/mato-grosso/noticia/2020/08/15/mulher-morre-em-incendio-em-industria-de-reciclagem-de-cuiaba.ghtml
;SP;Itu;Metalurgia;NaN;C24;Produção;NaN;Incêndio;Incêndio que começou em forno da indústria com óleo de têmpera;NaN;0;0;4;11;2020;https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/11/26/incendio-atinge-industria-as-margens-de-rodovia-em-itu.ghtml
;SP;São Paulo;Informática;Equipamentos de controle de acesso;C26;NaN;NaN;Incêndio;NaN;NaN;0;0;5;7;2020;https://g1.globo.com/sp/sao-paulo/noticia/2020/07/21/incendio-atinge-industria-na-zona-oeste-de-sp.ghtml
